"title","text","reviewRating","date","reviewer","page","company_url"
"Good enough software for mailing lists","Good enough software for mailing lists. They've recently 'implemented AI' which means they've replaced all of the homepages with a text box. Their AI chatbot can direct me how to find things that were hidden, at least.",,"2026-02-04T00:45:08.000Z","Anonymous","1","https://www.trustpilot.com/review/www.activecampaign.com"
"We're a client paying over 6000 euros…","We're a client paying over 6000 euros per year, got an email to talk about renewal. So I answered to make one. Just 15 minutes before the meeting it got canceled without any communication around it. 
Emailing for 2 weeks already, got over 20 emails mostly written by AI agents. Sometimes a real person answers, saying things that doesn't make sense. Then, when I email back, I'll be put in the AI agent loop again. And... still no appointment.",,"2026-02-03T12:30:12.000Z","Jente Kater","1","https://www.trustpilot.com/review/www.activecampaign.com"
"ActiveCampaign - powerful and feature rich!","I have been using ActiveCampaign for 7 years and over that time have saved hundreds of hours thanks to the powerful automations that can be built in ActiveCampaign. 

I continue to be impressed with ActiveCampaign's growth as a platform and the features that are regularly added tot he platform. 

Their support has been excellent, professional and timely.

Currently, the EDM functionality is what I use the least. It is excellent and powerful and the fact that our business systems are driven by the other features available is testimony to the power and functionality built into ActiveCampaign.

",,"2026-02-02T00:42:48.000Z","Vent Thomas","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Very difficult to downgrade your account","Nearly impossible to figure out how to downgrade your account. 

I go from talking to an AI agent to help articles that are no longer active. You have to jump on a call, apparently, to even be able to downgrade your account and haven't figured out how to do that. 

I just get very annoyed with services that intentionally build in sludge, and then, as a consumer, I need to spend a good amount of time being a detective to figure out how to do business with this service. It has me thinking about just canceling my account altogether. 

Overall, the service itself has been fine (that's the two-star rating), but I just find it very frustrating that you just can't get to a person and figure this out easily. ",,"2026-01-30T16:58:38.000Z","Eric Worral","1","https://www.trustpilot.com/review/www.activecampaign.com"
"In general very time efficient and easy…","In general very time efficient and easy service to use with a great support from the team.",,"2026-01-30T00:17:41.000Z","customer","1","https://www.trustpilot.com/review/www.activecampaign.com"
"This is a great campaign site","This is a great campaign site. I hadn't heard of it before someone recommended this on LinkedIn. We are a mid-sized business, so it's great for our needs.",,"2026-01-29T19:42:49.000Z","Carrie Phelps","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Reporting limitations and lack of customer support","The platform is adequate for our basic day-to-day use and meets core functionality needs. However, the reporting capabilities are very limited and do not meet expectations.

We upgraded our plan specifically to gain access to more advanced reporting, but unfortunately, this did not result in any meaningful improvement or added functionality for our use case.

Customer support has been a significant issue. We have submitted numerous support tickets over an extended period of time and have never received follow-up, resolution, or a returned call. When calling the customer service number, all extensions lead to voicemail, and messages are not returned. There also does not appear to be an accessible or responsive account manager available to assist with ongoing issues.

Overall, the platform functions at a basic level, but reporting and customer support need substantial improvement.",,"2026-01-28T23:07:48.000Z","Didion Orf Recycling","1","https://www.trustpilot.com/review/www.activecampaign.com"
"You asked me to leave an honest review…","You asked me to leave an honest review - I appreciate that and I hope that you use the reviews for good.  
I have been with AC for a good while now and do not use many of the features.  I have found it tricky to use and the help not very helpful.  It is pricey for what I need and the next step of number of contacts means that I will need to leave.  Sorry.  There is so much competition out there now - AC needs to improve.",,"2026-01-28T21:21:04.000Z","Fanny","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Easy to to use and intuitive CRM tool…","Easy to to use and intuitive CRM tool for small and medium sized businesses.",,"2026-01-28T20:48:59.000Z","Zach","1","https://www.trustpilot.com/review/www.activecampaign.com"
"I had a very negative experience with…","I had a very negative experience with ActiveCampaign’s affiliate program. I was running traffic on a direct ActiveCampaign affiliate account for a long time. After the program was migrated to PartnerStack, my affiliate account was suddenly locked without clear prior notice, and outstanding commissions were not paid.

There was no transparent explanation, no proper transition support, and communication became extremely slow. As an affiliate, this caused direct financial loss and serious disruption to my business. I also felt ongoing pressure around payment issues, while my own unpaid commissions remained unresolved.

This experience shows a lack of accountability and poor handling of affiliate partners. Until ActiveCampaign addresses this issue and provides a clear resolution, I cannot recommend promoting their products or joining their affiliate program.",,"2026-01-28T17:05:53.000Z","Trinh Bui","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Still satisfied but pricey","We have been using Active Campaign for about 4 years now and like most of the features. Setting up and managing customers/contacts is easy as is newsletter creation...most of the time. It seems to be getting quite expensive even though we are not adding customers beyond our tier.",,"2025-04-28T14:58:32.000Z","Peter Whyte","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Good tech support","I always look for great tech support, which is missing from so many platforms these days. Active Campaign has been good in that respect. It's a program with many capabilities I'm not taking advantage of.",,"2025-10-28T00:26:37.000Z","Heidi","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Shocking experience","Shocking experience. buggy af. They gaslight you when you complain to customer service about why a pre scheduled  email never sent or why an email you tested 3 times (and had perfect fonts) sent with whack fonts and invisible text 
Absolute disaster
We have literally just moved platforms this month after years of complaining and no relief or u detaining
It’s 2025 and their ux feels like 1980s
Trust me you can do better 🙌🏻",,"2025-07-02T04:39:15.000Z","PepTalkHer PepTalkHer","2","https://www.trustpilot.com/review/www.activecampaign.com"
"STAY AWAY before being locked-in","As you can see from many other answers, people who've recently joined and indeed in the beginning you get lot's of support till you are locked-in. Once in they charge outrages prices for the amount of contacts regardless if you are actively mailing those contacts or not. 

Also the platform feels outdated, and full of bugs, not at all in relation to what you pay / month. 
We're currently paying 500 euro/month for 15K contacts and really aim to keep our list as clean as possible, in order not to have those increased charges. 

Thanks to these reviews, we get contacted by alternative services. ",,"2025-07-27T09:16:51.000Z","Niki de Schryver","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Very difficult to downgrade your account","Nearly impossible to figure out how to downgrade your account. 

I go from talking to an AI agent to help articles that are no longer active. You have to jump on a call, apparently, to even be able to downgrade your account and haven't figured out how to do that. 

I just get very annoyed with services that intentionally build in sludge, and then, as a consumer, I need to spend a good amount of time being a detective to figure out how to do business with this service. It has me thinking about just canceling my account altogether. 

Overall, the service itself has been fine (that's the two-star rating), but I just find it very frustrating that you just can't get to a person and figure this out easily. ",,"2026-01-30T16:58:38.000Z","Eric Worral","2","https://www.trustpilot.com/review/www.activecampaign.com"
"I am a small business owner and I have…","I am a small business owner and I have been an AC for over 5 years now. What I like is the simplicity, the price point ($250/mth vs. a HubSpot $2500), the connection with Zapier for automations and data sharing with other subscriptions I have (e.g. website & Calendly) and the Email marketing feature, especially the design. 

However, I am often annoyed by its clunkiness; sometimes it doesn't safe, an error in the system that my team has flagged with AC years ago is still not fixed, the look and feel is like the 80s, the performance (speed) needs improvement, and the yearly price jumps are super annoying. 

But at the end of the day, one needs to decide price vs functionality & user experience - it still does a good job. ",,"2025-08-24T00:00:54.000Z","Susanne","2","https://www.trustpilot.com/review/www.activecampaign.com"
"We just moved to AC","We just moved to AC, so we will see how it works out. So far, fairly good in terms of the platform not being buggy, the editor working pretty well, and the folks that work there have been nice. Only thing is after moving our sender reputation immediately dropped and our emails stopped getting as many opens. . . so not entirely sure what to do there. Tried to talk to support about it but it seems they think it's outside of their control? We moved from Mailchimp where we could never get in touch with support whatsoever so this is an upgrade. ",,"2025-04-25T19:03:07.000Z","Olivia McHaney","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Knowledgeable and helpful staff","Had an excellent experience reviewing our current plan with ActiveCampaign (Thomas B).  He took the time to understand how we are using the platform and suggested a modified plan to align with our size and marketing goals. He thoroughly answered questions on improving data analyses, automations, and other AI questions. Although it sometimes feels like it's hard to get through to a live person for help,  when we can set something up, we have always been impressed with the outcome and quality of their staff.",,"2025-10-13T17:38:06.000Z","Mitchell Fabrics","2","https://www.trustpilot.com/review/www.activecampaign.com"
"ActiveCampaign has excellent customer…","ActiveCampaign has excellent customer service. Their team is responsive, knowledgeable, and always willing to go the extra mile to resolve issues quickly. The support feels personal, and they make sure you walk away with clear answers and solutions. It really makes using the platform smooth and stress-free.",,"2025-09-13T18:06:52.000Z","Tanya Davies","2","https://www.trustpilot.com/review/www.activecampaign.com"
"The platform is good and functionality…","The platform is good and functionality served me for more trhan 10 years. I has now become too expensive for my family based business, they suddenly doubled my monthly premium in 2023 just for adding a feature I am not using and is unable to offer a smaller package, although they say the price offered is at 68% discount.  Ridiculous! Im not stupid.  I'm moving away as soon as this term is over to Brevo at a fraction of the cost for the same automation functions suitable for me. ",,"2025-09-05T09:10:02.000Z","Philip Smit","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Stay away if you can","We've been using ActiveCampaign for several years and are getting a lot of frustration from their services. They lock you in and then continuously charge you more and more. Recently they have charged us for a feature we specifically said we didn't need, and now they don't even bother issuing a full refund for that.

From a feature point of view, the platform is very slow. Also, over the years there were many instances of contacts being stuck forever at wait steps in automations. This was a waste of ad spend and also created lots of operational issues.

We are seriously looking at alternatives.",,"2025-07-17T14:31:55.000Z","Aysha van de Paer","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Intuitive, excellent customer support, affordable","The price is very good. The customer service, especially for what we pay, is generous. The platform is easy to use. I used it first many years ago and chose it for a new project because it was so easy to learn and intuitive. Its easy to integrate with Wordpress and other platforms, too (though it does take some know-how). ",,"2025-09-26T16:31:25.000Z","Noelle B.","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Active Campaign is consistently at the…","Active Campaign is consistently at the top of the list for email automation and deliverability. It has a no-frills CRM to keep account notes as well. They have a new text message marketing system as well. Great bang for the buck. ",,"2025-08-26T16:58:28.000Z","Katie Kunsman","2","https://www.trustpilot.com/review/www.activecampaign.com"
"They gave me great support","They gave me great support. I actually don't use them anymore because I don't need a software that robust right now, but when I was with them, they gave me excellent customer support. I would definitely work with them again.",,"2025-10-03T18:48:45.000Z","Nicholas","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Super Opaque Pricing","Trying to make pricing as opaque as possible. They tried to push through a huge price increase at renewal (+35%) but act like they're doing you a favour because actually ""you're getting a 35% discount on list price"". 

I decided to downgrade my plan to a level that costs $2,400 on their website pricing page but the account rep tried to sell me the same plan with a ""custom offer"" for $5,000

Unless its cancelling or downgrading, they won't respond to anything you contact them with.",,"2025-05-28T16:39:12.000Z","Alex R","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Be careful depending your business in active campaign","Used to be great now every single additional added function or every new contact will add hundreds to your costs.

This is not how you increase revenue. They could have introduced new features and then upsell those but they keep taking away functions from their key services.

I honestly regret having my clients on active campaign and I wish I went with an automation platform that doesn’t keep squeezing you for money for every single new function. ",,"2025-05-14T09:38:57.000Z","Sone Digital Team","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Great marketing and CRM tool","Great marketing and CRM tool! 

We are working with Active Campaign for quite some years now. It's very user friendly and it has lots of possibilities. We are mainly using it for CRM and for mailings. ",,"2025-12-11T20:59:47.000Z","Michelle Bloem","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Scammers","Scammers. They deleted - without notice and without any explanation - my affiliate account with over 3000$ dollars earned. My business is in the supplement and pet space so 100% compliant. Plus they overcharged me in another account and refuse to give me money back. I've been using Activecampaign for over 10 years, this company is not what it used to be anymore.

EDIT: they just replied saying they ""have reached out"", but obviously they did not.",,"2025-08-27T16:24:13.000Z","Alessandro Gandini","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Highly recommend Active Campaign for your Business!","I have been with Active Campaign for quite a while now (years) and they are very helpful and a pleasure to deal with. At one time I had to set up a huge campaign and I really wasn't sure about certain aspects and they guided with all the steps that I needed, it was such a relief knowing that I had someone on the other end of the computer to help me. I would highly recommend Active Campaign for your business.",,"2025-04-29T05:31:14.000Z","Sue","2","https://www.trustpilot.com/review/www.activecampaign.com"
"Very disappointing experience ","My team has been using ActiveCampaign for about six months now, and I must say it has been extremely disappointing.
There are so many missing features and broken elements in the CRM that I don’t even know where to start.
If you need support, you will be met with the most basic, AI-generated questions I have seen so far, and only if you insist on speaking to a real human can you do so.
It feels like someone had an idea like: “Hey guys, how about we make a complete CRM system online?” — then they built the shell of a CRM… and stopped.
From my experience with all the other competitors in the market, I would strongly advise you to look elsewhere.",,"2025-12-09T17:36:39.000Z","Patrick Liebe-Lind","2","https://www.trustpilot.com/review/www.activecampaign.com"
